alerts_ci95_high,alerts_ci95_low,alerts_mean,control_type,counter_bits_ci95_high,counter_bits_ci95_low,counter_bits_mean,delay_ms,expressible,false_positive_rate_ci95_high,false_positive_rate_ci95_low,false_positive_rate_mean,fault_type,interference_delay_ms,key_mode,keys_tracked_ci95_high,keys_tracked_ci95_low,keys_tracked_mean,loss_prob,n_chunks,n_jobs,n_rounds,n_samples,n_workers,observed_rounds_ci95_high,observed_rounds_ci95_low,observed_rounds_mean,packets_ci95_high,packets_ci95_low,packets_mean,per_packet_ops_ci95_high,per_packet_ops_ci95_low,per_packet_ops_mean,precision_ci95_high,precision_ci95_low,precision_mean,query,recall_ci95_high,recall_ci95_low,recall_mean,register_bytes_ci95_high,register_bytes_ci95_low,register_bytes_mean,scaling_model,seed_max,seed_min,sketch_width,state_entries_ci95_high,state_entries_ci95_low,state_entries_mean,system,time_to_detection_ms_ci95_high,time_to_detection_ms_ci95_low,time_to_detection_ms_mean,timeout_ms,window_size,workload
31.553454,28.846546,30.2,,520.0,520.0,520.0,,True,,,,,20.0,,8.0,8.0,8.0,,25600,2,50,20,8,,,,20480000.0,20480000.0,20480000.0,2.0,2.0,2.0,0.493155,0.464745,0.47895,Q5,0.90739,0.79751,0.85245,65.0,65.0,65.0,INC job-round correlation window,19,0,,16.0,16.0,16.0,inc_aware,170.407221,112.092779,141.25,,8,interference
31.553454,28.846546,30.2,,520.0,520.0,520.0,,True,,,,,20.0,,8.0,8.0,8.0,,25600,2,50,20,16,,,,40960000.0,40960000.0,40960000.0,2.0,2.0,2.0,0.493155,0.464745,0.47895,Q5,0.90739,0.79751,0.85245,65.0,65.0,65.0,INC job-round correlation window,19,0,,16.0,16.0,16.0,inc_aware,170.407221,112.092779,141.25,,8,interference
31.553454,28.846546,30.2,,520.0,520.0,520.0,,True,,,,,20.0,,8.0,8.0,8.0,,25600,2,50,20,32,,,,81920000.0,81920000.0,81920000.0,2.0,2.0,2.0,0.493155,0.464745,0.47895,Q5,0.90739,0.79751,0.85245,65.0,65.0,65.0,INC job-round correlation window,19,0,,16.0,16.0,16.0,inc_aware,170.407221,112.092779,141.25,,8,interference
,,,,,,,,False,,,,,20.0,,,,,,25600,2,50,20,8,,,,20480000.0,20480000.0,20480000.0,,,,,,,Q5,,,,,,,not expressible,19,0,,,,,sonata,,,,,8,interference
,,,,,,,,False,,,,,20.0,,,,,,25600,2,50,20,16,,,,40960000.0,40960000.0,40960000.0,,,,,,,Q5,,,,,,,not expressible,19,0,,,,,sonata,,,,,8,interference
,,,,,,,,False,,,,,20.0,,,,,,25600,2,50,20,32,,,,81920000.0,81920000.0,81920000.0,,,,,,,Q5,,,,,,,not expressible,19,0,,,,,sonata,,,,,8,interference
27.226123,25.073877,26.15,,520.0,520.0,520.0,,True,,,,,20.0,,8.0,8.0,8.0,,25600,2,50,20,8,,,,20480000.0,20480000.0,20480000.0,2.0,2.0,2.0,0.454981,0.412919,0.43395,Q5,0.712709,0.622291,0.6675,65.0,65.0,65.0,window_size downstream correlation state,19,0,,16.0,16.0,16.0,sonata_external_windowed,370.754135,236.745865,303.75,,8,interference
27.226123,25.073877,26.15,,520.0,520.0,520.0,,True,,,,,20.0,,8.0,8.0,8.0,,25600,2,50,20,16,,,,40960000.0,40960000.0,40960000.0,2.0,2.0,2.0,0.454981,0.412919,0.43395,Q5,0.712709,0.622291,0.6675,65.0,65.0,65.0,window_size downstream correlation state,19,0,,16.0,16.0,16.0,sonata_external_windowed,370.754135,236.745865,303.75,,8,interference
27.226123,25.073877,26.15,,520.0,520.0,520.0,,True,,,,,20.0,,8.0,8.0,8.0,,25600,2,50,20,32,,,,81920000.0,81920000.0,81920000.0,2.0,2.0,2.0,0.454981,0.412919,0.43395,Q5,0.712709,0.622291,0.6675,65.0,65.0,65.0,window_size downstream correlation state,19,0,,16.0,16.0,16.0,sonata_external_windowed,370.754135,236.745865,303.75,,8,interference
,,,,,,,,False,,,,,20.0,,,,,,25600,2,50,20,8,,,,20480000.0,20480000.0,20480000.0,,,,,,,Q5,,,,,,,not expressible,19,0,,,,,univmon,,,,,8,interference
,,,,,,,,False,,,,,20.0,,,,,,25600,2,50,20,16,,,,40960000.0,40960000.0,40960000.0,,,,,,,Q5,,,,,,,not expressible,19,0,,,,,univmon,,,,,8,interference
,,,,,,,,False,,,,,20.0,,,,,,25600,2,50,20,32,,,,81920000.0,81920000.0,81920000.0,,,,,,,Q5,,,,,,,not expressible,19,0,,,,,univmon,,,,,8,interference
